group,metric,value
sv,accuracy,0.792744429174438
sv,precision,0.9535848248626101
sv,recall,0.8115214339704135
sv,f1,0.876836191149823
sv,macro_f1,0.6117601962576044
sv,weighted_f1,0.828645286806995
sv,balanced_accuracy,0.7082377688210599
sv,roc_auc,0.7309745579774171
sv,pr_auc,0.9475801911257903
sv,target_mean,0.7302236598587382
sv,target_std,0.30989296137239664
sv,non_target_mean,0.1144983340496651
sv,non_target_std,0.6944111989471013
sv,eer,0.3265077423543726
spoof,accuracy,0.7887319623048984
spoof,precision,0.844348062182803
spoof,recall,0.9094406118776245
spoof,f1,0.8756863693632875
spoof,macro_f1,0.5863436848551733
spoof,weighted_f1,0.7704811761348537
spoof,balanced_accuracy,0.5774592368243414
spoof,roc_auc,0.6487024368040809
spoof,pr_auc,0.8760198897992493
spoof,eer,0.38147534370015845
joint,accuracy,0.7745656228526554
joint,precision,0.46640290992233774
joint,recall,0.4148504343407777
joint,f1,0.4283159140154613
joint,macro_f1,0.4283159140154613
joint,weighted_f1,0.7536882222192548
joint,balanced_accuracy,0.4148504343407777
calibration,brier_score,0.1614366061373629
calibration,ece,0.10315262778911073
